min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,class
6.39E-06,0.4775899,0.00181206,0.00492492,2.097E-05,64.19506272,0
6.39E-06,0.50033366,0.0021237,0.00505282,2.102E-05,69.8458673,0
1.34E-05,0.93870866,0.00368257,0.00945872,7.591E-05,66.42528339,0
4.74E-06,0.82466143,0.00357373,0.00830597,5.622E-05,68.44058491,0
1.159E-05,0.45344907,0.00173729,0.00466815,1.877E-05,63.56757865,0
9.09E-06,0.79886279,0.00301953,0.0081013,5.652E-05,66.30793774,0
1.62E-06,0.12925952,0.00066778,0.0013247,1.31E-06,72.24865569,0
1.604E-05,0.42581602,0.00166059,0.00438631,1.648E-05,65.16847949,0
2.11E-06,0.71859954,0.00296846,0.00728164,4.421E-05,66.21840112,0
1.274E-05,1.10681673,0.00444117,0.01124034,0.00010663,63.89743037,0
1.136E-05,1.04838535,0.00415402,0.01058587,9.481E-05,65.8387421,0
1.47E-05,0.48407885,0.00185084,0.00495862,2.116E-05,65.91550097,0
1.947E-05,1.20387167,0.00470562,0.01219201,0.00012651,64.29994926,0
1.409E-05,1.1024168,0.00441911,0.01115869,0.00010499,64.60569184,0
1.61E-06,0.14325985,0.00079829,0.00146818,1.52E-06,77.74123778,0
3.17E-06,0.19567426,0.00106869,0.00199399,2.83E-06,77.69264921,0
1.413E-05,0.43323255,0.00177217,0.00444509,1.662E-05,66.34872467,0
9.66E-06,0.66904118,0.00274866,0.00678026,3.842E-05,65.88858856,0
2.96E-06,0.45806373,0.00194875,0.00468678,1.817E-05,65.56869707,0
2.98E-06,0.17238068,0.00096488,0.00177064,2.2E-06,77.39013783,0
2.17E-06,0.77805915,0.00359456,0.00790856,4.963E-05,69.4001455,0
1.051E-05,0.75330968,0.0030097,0.00760866,4.884E-05,66.59136637,0
1.208E-05,0.89626779,0.00350073,0.00908337,7.026E-05,65.65788855,0
1.414E-05,0.83850446,0.00350949,0.00853566,6.054E-05,65.71387758,0
1.057E-05,1.09871418,0.0040469,0.01109916,0.00010682,64.90442411,0
6.29E-06,0.53110109,0.00228456,0.00539179,2.385E-05,68.19543255,0
5.74E-06,0.55014635,0.00214515,0.00556069,2.632E-05,66.55319169,0
2.102E-05,0.8761191,0.00337152,0.00880096,6.609E-05,66.34070985,0
2.161E-05,0.90735435,0.00379108,0.00923354,7.089E-05,66.10174345,0
1.715E-05,0.5500058,0.00222113,0.00558126,2.622E-05,65.58079099,0
1.263E-05,0.53449361,0.00220774,0.00540716,2.436E-05,67.35051129,0
1.834E-05,0.82352806,0.00344271,0.00826574,5.647E-05,68.26668939,0
3.82E-06,0.15363121,0.0008214,0.00157331,1.8E-06,74.40774819,0
5.12E-06,0.47317248,0.00163876,0.00484376,2.078E-05,63.76004801,0
5.88E-06,0.49732185,0.00174812,0.00508502,2.28E-05,62.56857824,0
5.86E-06,0.44342875,0.00168519,0.0045042,1.745E-05,65.35811707,0
5.19E-06,0.4786637,0.00157565,0.0049099,2.163E-05,64.69073396,0
9.02E-06,0.74896293,0.00340422,0.00764044,4.679E-05,68.23134357,0
1.41E-05,0.86410207,0.00351151,0.00873732,6.401E-05,65.92563105,0
1.631E-05,0.83241253,0.00363137,0.00851214,5.927E-05,66.40570159,0
1.753E-05,0.87772418,0.00382691,0.0090565,6.738E-05,64.59532397,0
5.9E-07,0.06786741,0.00035074,0.00069135,3.5E-07,73.56959275,0
4.62E-06,0.55361885,0.00174785,0.00560077,2.832E-05,64.57369806,0
1.236E-05,0.72899976,0.00231813,0.00733135,4.838E-05,63.76833655,0
1.902E-05,0.92961647,0.00374912,0.00946341,7.55E-05,64.66139276,0
1.412E-05,0.68407302,0.0028768,0.00695981,4.017E-05,66.78885097,0
7.12E-06,0.47211848,0.0017448,0.00486093,2.059E-05,64.41134817,0
4.76E-06,0.48201008,0.00176855,0.00492353,2.111E-05,64.23211529,0
4.06E-06,0.15796754,0.0008311,0.00161578,1.92E-06,73.55422388,0
1.09E-05,0.48261421,0.00175183,0.00493292,2.127E-05,67.29822627,0
5.02E-06,0.43632281,0.00171506,0.00441204,1.653E-05,67.77383705,0
1.294E-05,0.56654909,0.00216315,0.00576021,2.85E-05,63.94662361,0
4.19E-06,0.16074878,0.00084505,0.0016411,1.98E-06,74.04479467,0
8.02E-06,0.94129255,0.00363724,0.00950862,7.719E-05,64.58757187,0
5.48E-06,0.60513186,0.00237954,0.00610009,3.155E-05,67.93730209,0
2.29E-06,0.54575453,0.00213016,0.00550779,2.58E-05,66.31056909,0
1.022E-05,0.47725722,0.00198827,0.00480909,1.918E-05,69.74929123,0
1.468E-05,0.91226,0.0037014,0.00923223,7.154E-05,65.73676377,0
2.571E-05,0.91673762,0.00379095,0.00929295,7.199E-05,66.39157729,0
8.05E-06,0.94632565,0.00381169,0.00960646,7.776E-05,64.65317013,0
9.7E-06,0.57721571,0.00169411,0.00586747,3.156E-05,67.5432205,0
4.08E-06,1.01751753,0.0039587,0.01030214,9.047E-05,64.59979031,0
4.64E-06,0.48857549,0.00155587,0.00499342,2.251E-05,66.7603524,0
1.334E-05,0.85812736,0.00332565,0.00869818,6.46E-05,63.25091541,0
9.76E-06,0.47908181,0.00200381,0.00485465,1.955E-05,68.26436617,0
1.941E-05,0.67631914,0.00257722,0.00682735,3.997E-05,64.64762852,0
7.85E-06,0.53257717,0.00218086,0.00542285,2.465E-05,65.19779886,0
8.96E-06,0.44204878,0.0016478,0.00452845,1.779E-05,65.2650955,0
7.13E-06,0.52088778,0.00230918,0.00529463,2.27E-05,68.24056883,0
6.34E-06,0.42694,0.0014344,0.00437423,1.708E-05,64.8208483,0
5.32E-06,0.43235121,0.0015966,0.00445829,1.733E-05,64.13099733,0
1.9E-07,0.03549692,0.00018355,0.00036333,1E-07,72.58179725,0
5.72E-06,0.37406131,0.00137832,0.00383802,1.283E-05,64.86230467,0
5.59E-06,0.40109772,0.00141642,0.00410147,1.482E-05,65.61370212,0
7.19E-06,0.40408467,0.00175092,0.00415407,1.419E-05,66.02548197,0
6.23E-06,0.46924376,0.00166406,0.00480411,2.031E-05,65.22079286,0
9.54E-06,0.42786873,0.00171533,0.00434565,1.594E-05,66.91588542,0
3.88E-06,0.51228681,0.00158864,0.0052209,2.474E-05,64.05702355,0
1.574E-05,0.72171372,0.00287423,0.0074368,4.705E-05,62.70663967,0
1.57E-06,0.67164409,0.00236451,0.006821,4.094E-05,64.81801643,0
8.43E-06,0.72566932,0.0028596,0.00741163,4.676E-05,63.62126338,0
9.49E-06,0.69275254,0.00236093,0.00703379,4.39E-05,62.64815521,0
5.96E-06,1.09172955,0.0042919,0.01104303,0.00010353,64.72055508,0
6.47E-06,0.65134972,0.00271587,0.00658913,3.604E-05,68.0688189,0
1.262E-05,0.46775357,0.00184982,0.00476175,1.925E-05,65.29111528,0
4.28E-06,0.41664649,0.00156533,0.00429413,1.599E-05,63.84104983,0
1.96E-06,1.01310021,0.0041152,0.01026019,8.834E-05,64.80957801,0
9.4E-07,0.47244022,0.00186638,0.00473569,1.894E-05,69.17536985,0
9.41E-06,0.49218422,0.00155155,0.00504221,2.302E-05,67.7123421,0
2.55E-06,0.12235903,0.00065081,0.0012514,1.14E-06,74.55492689,0
9.85E-06,0.52637921,0.00189785,0.00534485,2.497E-05,68.97321783,0
1.4E-06,0.50837924,0.00197895,0.00514303,2.254E-05,66.43631866,0
1.796E-05,0.42773185,0.00167361,0.00438335,1.641E-05,66.44594016,0
9.06E-06,0.75258588,0.00296637,0.00755021,4.821E-05,68.35385695,0
3.6E-06,0.58094025,0.00160899,0.00588109,3.2E-05,69.08451371,0
1.397E-05,0.50715903,0.00158167,0.00518363,2.437E-05,67.01997403,0
7.78E-06,0.36630262,0.00145889,0.00374892,1.193E-05,65.27264237,0
4.06E-06,0.15419049,0.00079617,0.0015877,1.89E-06,70.40002132,0
1.424E-05,0.67135547,0.0025603,0.00683813,4.021E-05,62.20276528,0
1.299E-05,1.00769408,0.00384183,0.01021548,8.96E-05,62.791258,0
1.198E-05,0.6571897,0.0024489,0.00668301,3.867E-05,63.86440868,0
7.5E-06,0.63811106,0.00257532,0.00647113,3.524E-05,65.28218188,0
3.34E-06,0.40040025,0.00137034,0.00412276,1.512E-05,63.03428353,0
1.226E-05,0.49190564,0.00154121,0.00503144,2.294E-05,66.57971256,0
5.89E-06,0.4090453,0.00159279,0.00416636,1.482E-05,65.83535745,0
9.84E-06,0.37836976,0.00159794,0.00387272,1.245E-05,67.35449756,0
3.83E-06,0.84334164,0.00329243,0.0085274,6.188E-05,66.09056753,0
9.04E-06,1.0028658,0.00364113,0.01017176,9.021E-05,64.714971,0
3.27E-06,0.96632732,0.00387097,0.00985086,8.206E-05,64.1532799,0
9.88E-06,0.98461761,0.00334773,0.00994441,8.769E-05,62.21063715,0
1.444E-05,1.18904347,0.00398048,0.0120728,0.00012991,60.40547845,0
2.16E-06,0.99929058,0.00359479,0.01021091,9.134E-05,61.79028693,0
9.41E-06,1.16735229,0.00322828,0.01175756,0.00012782,62.94617211,0
3.53E-06,1.11567236,0.00360077,0.01128755,0.00011445,61.12512124,0
1.34E-05,0.47731557,0.00155971,0.00489974,2.158E-05,60.97945379,0
7.8E-07,0.04765143,0.00021926,0.00048566,1.9E-07,68.44432165,0
1.82E-06,0.05186977,0.00028294,0.00052979,2E-07,76.978742,0
